"MES";"Meta % Cumplimiento RP";"Trabajadores Activos Inicio de Mes";"Trabajadores Activos Final de Mes";"Ingresos";"Retiros";"% del Total RP";"Meta % Cumplimiento AB";"Actividades programadas";"Actividades ejecutadas";"% del Total AB";"Meta % Cumplimiento CAP";"Capacitaciones programadas";"Capacitaciones en producto";"Capacitaciones ejecutadas";"% del Total CAP";"Meta  Cumplimiento 0 dias antes DEAP";"Entregas de Variable (1 Días antes)";"Entregas de Nomina (1 Días antes)";"Entrega seguridad Social (5 días habiles antes)";"Entrega Liquidaciones (5 días habiles posteriores)";"Cumplimiento promedio en días antes DEAP";"Meta  Cumplimiento 0 Errores EN";"Errores en Nomina";"Errores en Comisiones";"Errores en Seguridad Social";"Errores en Liquidaciones";"Suma Total de Errores EN";"Meta Cumplimiento  en tiempo SPT";"Requisiciones para el mes";"Requisiones cubiertas en el Tiempo según tabla";"Requisiciones cubiertas fuera de los Tiempos";"% del Total SPT";"Meta Cumplimiento  en tiempo SPE";"Ingresos hace seis meses";"Continuidad de ingresos";"% del Total SPE";"Meta Cumplimiento  en tiempo CL";"Evaluación Clima Laboral";"% del Total CL"
"ENE";"5";"50";"49";"1";"3";"4";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"1";"0";"0";"0";"75";"4";"4";"100";"70";"";""
"FEB";"5";"48";"49";"3";"2";"5";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"2";"0";"0";"0";"75";"3";"3";"100";"70";"";""
"MAR";"5";"49";"48";"0";"1";"1";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"1";"0";"0";"0";"75";"2";"2";"100";"70";"";""
"ABR";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"1";"1";"100";"70";"";""
"MAY";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"2";"1";"50";"70";"";""
"JUN";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"0";"0";"0";"70";"";""
"JUL";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"1";"1";"100";"70";"";""
"AGO";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"3";"2";"67";"70";"";""
"SEP";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"0";"0";"0";"70";"";""
"OCT";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"0";"0";"0";"70";"";""
"NOV";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"0";"0";"0";"70";"";""
"DIC";"5";"48";"48";"0";"0";"0";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"0";"0";"0";"0";"75";"0";"0";"0";"70";"";""
"TOTAL";"5";"579";"578";"4";"6";"0,8333333333333334";"98";"0";"0";"0";"92";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"80";"4";"0";"0";"0";"75";"16";"14";"87,5";"70";"#DIV/0!";"#DIV/0!"
